area,latitude,longitude,node_id,node_type,index_right,us_state
TIDC,37.6091056801805,-120.992876143573,COLLEG_LNODEDR1,LOAD,4.0,California
TIDC,37.6091096218649,-120.992789582042,COLLEG_LNODEDR2,LOAD,4.0,California
TIDC,37.6090266914486,-120.992698116343,COLLEG_LNODEDR5,LOAD,4.0,California
TIDC,37.6090419641747,-120.993034819943,COLLEG_LNODER15,LOAD,4.0,California
TPWR,47.140009999980784,-122.36923352285922,COLLINS_FDR1LNODE,LOAD,47.0,Washington
TPWR,47.140009999980784,-122.36936647714076,COLLINS_FDR2LNODE,LOAD,47.0,Washington
NWMT,47.955881,-111.778162,COLLINS_LNODEOAD,LOAD,26.0,Montana
SRP,33.4626419999884,-112.29050322662816,COLLI_SR_LNODELD2,LOAD,2.0,Arizona
SRP,33.4626419999884,-112.29061077337184,COLLI_SR_LNODELD3,LOAD,2.0,Arizona
AVA,47.66289999998055,-117.43373303714505,COLL_WAL_1_1LNODE,LOAD,47.0,Washington
AVA,47.66289999998055,-117.43386696285496,COLL_WAL_1_2LNODE,LOAD,47.0,Washington
BPAT,47.29405799998072,-120.07734234847372,COLMA_BP_LNODEERV,LOAD,47.0,Washington
BPAT,47.29405799998072,-120.07747565152629,COLMA_BP_LNODESS1,LOAD,47.0,Washington
BHBA,44.864167,-104.146111,COLONYBH_LNODE69249,LOAD,50.0,Wyoming
NWMT,45.891075621686426,-106.61669661303836,COLSTRI_LNODE4LD,LOAD,26.0,Montana
NWMT,45.8909979999277,-106.61663222625673,COLSTRI_LNODE5LD,LOAD,26.0,Montana
NWMT,45.89092037827743,-106.61669661321837,COLSTRI_LNODELD1,LOAD,26.0,Montana
NWMT,45.89092037827743,-106.61682538678166,COLSTRI_LNODELD2,LOAD,26.0,Montana
NWMT,45.8909979999277,-106.61688977374328,COLSTRI_LNODET1L,LOAD,26.0,Montana
NWMT,45.891075621686426,-106.61682538696162,COLSTR_R_LNODEOAD,LOAD,26.0,Montana
BPAT,45.61984,-120.22645,COLUMBRL_1_G01GNODE,GEN,37.0,Oregon
NWMT,45.64432,-109.244664,COLUM_ES_LNODEOAD,LOAD,26.0,Montana
AVA,48.5453537302311,-117.9142,COLVILLE_1_1LNODE,LOAD,47.0,Washington
AVA,48.545273134863066,-117.91412971333224,COLVILLE_1_2LNODE,LOAD,47.0,Washington
AVA,48.545273134863066,-117.91427028666776,COLVILLE_1_3LNODE,LOAD,47.0,Washington
PSE,47.589444,-122.146389,COL_LNODEXF2,LOAD,47.0,Washington
BPAT,45.94425818198193,-118.67868766920805,COMB_H_2_2_Z1GNODE,GEN,37.0,Oregon
BPAT,45.94425818198193,-118.67881661279196,COMB_H_2_2_ZDGNODE,GEN,37.0,Oregon
NV,36.16066299998725,-115.15327055344537,COMMERC_LNODE-1,LOAD,28.0,Nevada
NV,36.16066299998725,-115.15338144655465,COMMERC_LNODE-2,LOAD,28.0,Nevada
TIDC,37.6091045275098,-120.992962913259,COMMONS_LNODEDR1,LOAD,4.0,California
TIDC,37.5166183000533,-120.867554724081,COMMONS_LNODEDR3,LOAD,4.0,California
TIDC,37.516699044633,-120.867555122205,COMMONS_LNODEDR4,LOAD,4.0,California
TIDC,37.5164895041446,-120.867550987033,COMMONS_LNODEDR5,LOAD,4.0,California
TIDC,37.5165532160667,-120.867553025577,COMMONS_LNODEDR7,LOAD,4.0,California
TIDC,37.5008689404211,-120.913270146673,COMMONS_LNODEDR8,LOAD,4.0,California
NWMT,46.008194,-112.500634,CONCTRAT_LNODELD1,LOAD,26.0,Montana
NWMT,46.00819399992728,-112.50050484507295,CONCTRAT_LNODELD2,LOAD,26.0,Montana
NWMT,46.0081042946638,-112.5005048452824,CONCTRAT_LNODELD3,LOAD,26.0,Montana
NWMT,46.00804086353018,-112.50059617150242,CONCTRAT_LNODELD4,LOAD,26.0,Montana
NWMT,46.00802569416396,-112.50072346603554,CONCTRAT_LNODELD5,LOAD,26.0,Montana
NWMT,46.00805676366299,-112.50084462658796,CONCTRAT_LNODELD6,LOAD,26.0,Montana
NWMT,46.00812218733435,-112.50093299096424,CONCTRAT_LNODELD7,LOAD,26.0,Montana
NWMT,46.0082069665407,-112.50097520150676,CONCTRAT_LNODELD8,LOAD,26.0,Montana
BPAT,45.231263,-120.258768,CONDO_BP_LNODEDON,LOAD,37.0,Oregon
BPAT,45.24622499998227,-120.27751836000816,CONDWIND_1_Z1GNODE,GEN,37.0,Oregon
BPAT,45.24622499998227,-120.27764563999185,CONDWIND_1_Z2GNODE,GEN,37.0,Oregon
BPAT,46.648226999981205,-118.86721026818412,CONEL_BP_LNODENRD,LOAD,47.0,Washington
BPAT,46.648226999981205,-118.86734173181588,CONNELL_LNODEFRK,LOAD,47.0,Washington
NWMT,48.16711499998036,-111.94424570975896,CONRAD_LNODELD1,LOAD,26.0,Montana
NWMT,48.16711499998036,-111.94438029024106,CONRAD_LNODEOAD,LOAD,26.0,Montana
NWMT,48.148985,-111.962234,CONRAD_P_LNODEOAD,LOAD,26.0,Montana
NWMT,46.329204,-111.618437,CONTLIME_LNODEOAD,LOAD,26.0,Montana
NWMT,45.982181,-112.487785,CONT_DR_LNODEOAD,LOAD,26.0,Montana
SRP,33.46413999998846,-112.24624422503584,CONVALOF_LNODELD1,LOAD,2.0,Arizona
SRP,33.46413999998846,-112.24635177496415,CONVALOF_LNODELD2,LOAD,2.0,Arizona
BPAT,46.17286922,-123.8361576,CONYE_BP_LNODEPUD,LOAD,,
SRP,33.596755,-112.171572,COOK_SR_LNODELD2,LOAD,2.0,Arizona
SRP,32.91692,-111.50214,COOLDGEN_LNODE10AUX,LOAD,2.0,Arizona
SRP,32.916919999954736,-111.5020333423864,COOLDGEN_LNODE11AUX,LOAD,2.0,Arizona
SRP,32.91683046521593,-111.5020333424943,COOLDGEN_LNODE12AUX,LOAD,2.0,Arizona
SRP,32.9174229045954,-111.503520284859,COOLDGEN_LNODELDU13,LOAD,2.0,Arizona
SRP,32.91742290455013,-111.50341362671456,COOLDGEN_LNODELDU14,LOAD,2.0,Arizona
SRP,32.917333369874406,-111.50341362682244,COOLDGEN_LNODELDU15,LOAD,2.0,Arizona
SRP,32.91727005933952,-111.50348904546571,COOLDGEN_LNODELDU16,LOAD,2.0,Arizona
SRP,32.917254918830835,-111.50359416738507,COOLDGEN_LNODELDU17,LOAD,2.0,Arizona
SRP,32.91728592930616,-111.50369422372856,COOLDGEN_LNODELDU18,LOAD,2.0,Arizona
SRP,32.91735122863852,-111.50376719636098,COOLDGEN_LNODELDU19,LOAD,2.0,Arizona
SRP,32.91743584666892,-111.50380205433706,COOLDGEN_LNODELDU20,LOAD,2.0,Arizona
SRP,32.91752524762591,-111.5037962273038,COOLDGEN_LNODELDU21,LOAD,2.0,Arizona
SRP,32.91760714513931,-111.50375312349416,COOLDGEN_LNODELDU22,LOAD,2.0,Arizona
SRP,32.91767229760992,-111.50367996455044,COOLDGEN_LNODELDU23,LOAD,2.0,Arizona
SRP,32.917714685965194,-111.50358601638608,COOLDGEN_LNODELDU24,LOAD,2.0,Arizona
SRP,32.91676715463641,-111.50210876076218,COOLDGEN_LNODEU1AUX,LOAD,2.0,Arizona
SRP,32.91675201411707,-111.50221388215834,COOLDGEN_LNODEU2AUX,LOAD,2.0,Arizona
SRP,32.91678302461422,-111.50231393800384,COOLDGEN_LNODEU3AUX,LOAD,2.0,Arizona
SRP,32.91684832399259,-111.50238691027307,COOLDGEN_LNODEU4AUX,LOAD,2.0,Arizona
SRP,32.91693294208263,-111.50242176807566,COOLDGEN_LNODEU5AUX,LOAD,2.0,Arizona
SRP,32.91702234310265,-111.5024159410714,COOLDGEN_LNODEU6AUX,LOAD,2.0,Arizona
SRP,32.91710424067381,-111.50237283747629,COOLDGEN_LNODEU7AUX,LOAD,2.0,Arizona
SRP,32.91716939319037,-111.50229967889666,COOLDGEN_LNODEU8AUX,LOAD,2.0,Arizona
SRP,32.91721178157549,-111.50220573119992,COOLDGEN_LNODEU9AUX,LOAD,2.0,Arizona
SRP,33.329403779508695,-111.704785,COOLE_SR_LNODE12LD4,LOAD,2.0,Arizona
SRP,33.329323110233176,-111.70472925738318,COOLE_SR_LNODELD2,LOAD,2.0,Arizona
SRP,33.329323110233176,-111.70484074261682,COOLE_SR_LNODELD3,LOAD,2.0,Arizona
WALC,33.00287499998867,-111.31343362177672,COOLIDGE_LNODE12_5,LOAD,2.0,Arizona
WALC,33.00287499998867,-111.31354037822328,COOLIDGE_LNODEEBIA,LOAD,2.0,Arizona
TIDC,37.3189566034476,-120.5119493179366,COOPER_LNODEDR1,LOAD,4.0,California
TIDC,37.31895660339336,-120.51183575699493,COOPER_LNODEDR2,LOAD,4.0,California
TIDC,37.318866291449055,-120.51183575713138,COOPER_LNODEDR3,LOAD,4.0,California
TIDC,37.31880243131042,-120.51191605677508,COOPER_LNODEDR4,LOAD,4.0,California
TIDC,37.318787159360575,-120.51202798203006,COOPER_LNODEDR5,LOAD,4.0,California
TIDC,37.31881843902539,-120.51213451388377,COOPER_LNODEDR6,LOAD,4.0,California
TIDC,37.318884305211256,-120.51221220923811,COOPER_LNODEDR7,LOAD,4.0,California
TIDC,37.318969657814,-120.51224932323213,COOPER_LNODEDR8,LOAD,4.0,California
TIDC,37.31905983488123,-120.51224311913526,COOPER_LNODEDR9,LOAD,4.0,California
TIDC,37.31914244338007,-120.5121972257278,COOPER_LNODER14,LOAD,4.0,California
TIDC,37.31920816147405,-120.51211933201114,COOPER_LNODER15,LOAD,4.0,California
TIDC,37.31925091782716,-120.51201930357878,COOPER_LNODER16,LOAD,4.0,California
TIDC,37.31926769919903,-120.51190771989396,COOPER_LNODER17,LOAD,4.0,California
SRP,33.259564999988484,-111.8062724263072,COOPE_SR_LNODELD1,LOAD,2.0,Arizona
SRP,33.259564999988484,-111.8063795736928,COOPE_SR_LNODELD2,LOAD,2.0,Arizona
SRP,33.15359257605584,-111.472145140797,COPPRXNG_LNODE14LD1,LOAD,2.0,Arizona
EPE,31.757154224172176,-106.37431042562189,COP_1_COPPERGNODE,GEN,43.0,Texas
EPE,31.75697355351726,-106.37431042582924,COP_LNODE_10,LOAD,43.0,Texas
EPE,31.75697355351726,-106.37452290750409,COP_LNODE_11,LOAD,43.0,Texas
EPE,31.757154224172176,-106.37452290771144,COP_LNODE_12,LOAD,43.0,Texas
PNM,35.2257,-106.653,CORALBLF_LNODEARA1,LOAD,31.0,New Mexico
PNM,35.225699999949995,-106.65288971709792,CORALBLF_LNODEARA2,LOAD,31.0,New Mexico
PNM,35.22560991136286,-106.65288971722036,CORALBLF_LNODEARA3,LOAD,31.0,New Mexico
PNM,35.22554620915775,-106.65296769894704,CORALBLF_LNODEARA4,LOAD,31.0,New Mexico
PNM,35.22553097497969,-106.65307639339612,CORALBLF_LNODEARA5,LOAD,31.0,New Mexico
PNM,35.22556217729337,-106.65317985012328,CORALBLF_LNODEARA6,LOAD,31.0,New Mexico
PNM,35.22562788059186,-106.65325530272428,CORALBLF_LNODEARA7,LOAD,31.0,New Mexico
PNM,35.22571302210944,-106.65329134536664,CORALBLF_LNODEARA8,LOAD,31.0,New Mexico
PNM,35.22580297615193,-106.65328532033072,CORALBLF_LNODEBLUFF1,LOAD,31.0,New Mexico
NWMT,46.027397,-112.52431,CORA_LNODEK1L,LOAD,26.0,Montana
SRP,33.35783478961867,-111.829682,CORBE_SR_LNODELD2,LOAD,2.0,Arizona
SRP,33.35775410517822,-111.82962622869822,CORBE_SR_LNODELD3,LOAD,2.0,Arizona
SRP,33.35775410517822,-111.82973777130178,CORBE_SR_LNODELD4,LOAD,2.0,Arizona
PNM,45.53,-122.83,CORNELL_LNODENELL,LOAD,37.0,Oregon
SRP,34.57774486901149,-109.27905592605156,CORON_SR_LNODEDU1,LOAD,2.0,Arizona
SRP,34.57774486901149,-109.27917007394842,CORON_SR_LNODEDU2,LOAD,2.0,Arizona
NV,40.26142299998492,-116.72002992221282,CORTEZ_LNODE44,LOAD,28.0,Nevada
TIDC,37.5005587104299,-120.913235680039,CORTEZ_LNODEDR1,LOAD,4.0,California
TIDC,37.5007571927422,-120.913267914805,CORTEZ_LNODEDR3,LOAD,4.0,California
TIDC,37.5006522266335,-120.913263660994,CORTEZ_LNODEDR5,LOAD,4.0,California
TIDC,37.5008124927682,-120.913424010622,CORTEZ_LNODEDR6,LOAD,4.0,California
TIDC,37.5007095209272,-120.913352769965,CORTEZ_LNODEDR7,LOAD,4.0,California
NV,40.26142299998492,-116.7201480777872,CORTEZ_LNODELLS,LOAD,28.0,Nevada
SRP,33.571346,-112.109385,CORTE_SR_LNODELD1,LOAD,2.0,Arizona
SRP,33.57134599995328,-112.10927721510242,CORTE_SR_LNODELD2,LOAD,2.0,Arizona
NWMT,46.31254399998155,-114.1049768801128,CORVLS_LNODEMPC,LOAD,26.0,Montana
