interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss,ghg
2025-10-19 01:30:00-07:00,2025-10-19 08:30:00+00:00,2025-10-19 01:35:00-07:00,2025-10-19 08:35:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.97539,51.74374,0.0,2.23164,0.0
2025-10-19 01:30:00-07:00,2025-10-19 08:30:00+00:00,2025-10-19 01:35:00-07:00,2025-10-19 08:35:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,53.591,51.74374,0.0,1.84725,0.0
2025-10-19 01:35:00-07:00,2025-10-19 08:35:00+00:00,2025-10-19 01:40:00-07:00,2025-10-19 08:40:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,50.92415,50.12219,0.0,0.80196,0.0
2025-10-19 01:35:00-07:00,2025-10-19 08:35:00+00:00,2025-10-19 01:40:00-07:00,2025-10-19 08:40:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,52.2839,50.12219,0.0,2.16171,0.0
2025-10-19 01:35:00-07:00,2025-10-19 08:35:00+00:00,2025-10-19 01:40:00-07:00,2025-10-19 08:40:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,51.91155,50.12219,0.0,1.78936,0.0
2025-10-19 01:40:00-07:00,2025-10-19 08:40:00+00:00,2025-10-19 01:45:00-07:00,2025-10-19 08:45:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,50.01628,49.22862,0.0,0.78766,0.0
2025-10-19 01:40:00-07:00,2025-10-19 08:40:00+00:00,2025-10-19 01:45:00-07:00,2025-10-19 08:45:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,51.35179,49.22862,0.0,2.12317,0.0
2025-10-19 01:40:00-07:00,2025-10-19 08:40:00+00:00,2025-10-19 01:45:00-07:00,2025-10-19 08:45:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,50.98608,49.22862,0.0,1.75746,0.0
2025-10-19 01:45:00-07:00,2025-10-19 08:45:00+00:00,2025-10-19 01:50:00-07:00,2025-10-19 08:50:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.21559,50.32978,0.0,0.8858,0.0
2025-10-19 01:45:00-07:00,2025-10-19 08:45:00+00:00,2025-10-19 01:50:00-07:00,2025-10-19 08:50:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,52.54259,50.32978,0.0,2.21281,0.0
2025-10-19 01:45:00-07:00,2025-10-19 08:45:00+00:00,2025-10-19 01:50:00-07:00,2025-10-19 08:50:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.17185,50.32978,0.0,1.84207,0.0
2025-10-19 01:50:00-07:00,2025-10-19 08:50:00+00:00,2025-10-19 01:55:00-07:00,2025-10-19 08:55:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.89549,50.99793,0.0,0.89756,0.0
2025-10-19 01:50:00-07:00,2025-10-19 08:50:00+00:00,2025-10-19 01:55:00-07:00,2025-10-19 08:55:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.24011,50.99793,0.0,2.24218,0.0
2025-10-19 01:50:00-07:00,2025-10-19 08:50:00+00:00,2025-10-19 01:55:00-07:00,2025-10-19 08:55:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.86445,50.99793,0.0,1.86652,0.0
2025-10-19 01:55:00-07:00,2025-10-19 08:55:00+00:00,2025-10-19 02:00:00-07:00,2025-10-19 09:00:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,53.09341,52.17512,0.0,0.91828,0.0
2025-10-19 01:55:00-07:00,2025-10-19 08:55:00+00:00,2025-10-19 02:00:00-07:00,2025-10-19 09:00:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,54.46907,52.17512,0.0,2.29394,0.0
2025-10-19 01:55:00-07:00,2025-10-19 08:55:00+00:00,2025-10-19 02:00:00-07:00,2025-10-19 09:00:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,54.08473,52.17512,0.0,1.90961,0.0
2025-10-19 02:00:00-07:00,2025-10-19 09:00:00+00:00,2025-10-19 02:05:00-07:00,2025-10-19 09:05:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,54.51751,53.51674,0.0,1.00076,0.0
2025-10-19 02:00:00-07:00,2025-10-19 09:00:00+00:00,2025-10-19 02:05:00-07:00,2025-10-19 09:05:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,55.89108,53.51674,0.0,2.37433,0.0
